lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
70,0,100.0,6,3,3,2,0,0,0,1
130,1,105.3,5,5,4,3,0,0,0,0
8,2,158.0,9,9,4,1,0,3,0,1
7,0,109.0,10,26,4,1,0,0,0,1
361,0,91.0,11,4,4,1,0,0,0,0
36,1,116.1,6,16,4,1,0,3,0,1
12,1,105.0,5,8,4,0,2,0,0,1
73,1,140.4,8,6,4,1,1,0,3,0
20,1,132.67,5,30,4,2,1,0,3,1
21,0,75.0,10,12,3,3,1,0,3,1
22,1,139.0,9,26,4,1,1,0,0,1
8,1,84.7,10,27,4,1,0,3,0,1
102,2,130.5,7,9,4,1,0,0,0,1
66,0,99.9,4,4,4,1,1,0,0,1
198,1,112.56,9,27,4,5,2,0,0,0
65,0,177.3,7,27,4,3,0,0,5,0
5,0,65.0,7,10,2,0,2,0,0,1
52,1,74.8,11,23,4,4,0,3,0,1
26,0,120.0,6,8,3,1,0,0,0,1
59,2,72.25,10,29,4,3,0,0,0,1
14,2,126.0,10,19,4,1,1,0,0,1
270,0,62.8,4,20,3,4,0,0,0,0
49,0,107.1,7,1,4,2,0,3,0,0
48,0,75.0,11,1,3,4,0,0,0,1
2,1,159.0,9,15,4,1,0,3,0,1
32,1,135.9,9,9,4,2,0,0,0,1
172,1,137.7,7,28,4,2,0,0,3,0
6,0,0.0,12,10,4,2,0,1,0,1
25,1,110.0,9,11,4,0,2,0,0,1
79,0,95.0,9,3,3,5,2,0,0,1
7,1,126.0,10,19,4,2,1,0,0,1
57,1,79.2,11,21,4,2,1,3,0,0
203,0,85.5,10,24,4,5,2,3,0,0
67,1,100.81,3,26,3,1,2,0,0,1
104,0,75.0,12,3,3,3,0,0,0,1
98,2,79.2,12,8,4,3,0,3,0,1
204,0,100.0,5,5,4,3,0,0,0,0
5,1,145.0,10,5,4,3,1,0,0,1
3,0,123.0,6,20,4,0,1,3,0,1
17,0,69.49,9,5,4,1,2,0,0,1
176,0,116.1,9,8,3,3,0,0,0,0
3,0,65.0,11,2,2,0,1,0,0,1
153,0,88.01,5,2,4,2,1,0,3,0
161,1,63.42,6,28,4,7,2,0,0,1
16,0,79.75,11,20,2,4,2,0,0,1
1,0,98.0,8,9,4,0,2,0,0,1
219,0,108.0,9,4,4,1,0,1,0,0
13,0,75.0,3,20,3,0,1,0,0,1
74,0,101.5,9,18,3,2,0,1,0,1
53,0,101.1,6,27,4,2,1,3,0,0
138,1,110.08,6,5,4,2,2,0,0,1
18,2,75.0,12,18,4,1,0,3,0,1
52,0,76.5,10,23,3,2,2,3,0,1
335,0,80.0,10,13,3,3,0,0,0,1
30,0,110.97,9,4,4,0,2,0,3,0
4,2,120.0,2,5,4,2,0,0,0,1
2,0,62.8,12,5,3,1,1,0,0,1
35,1,88.4,12,2,4,2,2,0,0,1
68,0,80.3,2,26,4,2,1,0,0,1
69,0,120.0,6,12,3,4,2,0,0,0
309,0,65.0,5,13,3,2,1,0,0,1
7,0,58.0,12,9,3,3,0,0,0,1
5,1,72.75,12,24,4,2,0,3,0,1
27,0,95.0,10,3,3,1,1,0,0,1
36,1,67.32,3,29,3,2,0,0,0,1
0,0,149.0,5,26,4,3,0,3,0,1
1,0,65.0,12,10,2,1,0,0,0,1
91,2,126.0,7,20,4,2,0,0,0,1
292,0,115.0,7,21,3,2,0,1,0,0
7,0,101.0,4,3,4,1,2,0,0,0
30,2,84.55,8,30,4,4,0,0,0,1
54,0,140.4,6,4,4,1,0,0,3,0
113,2,115.74,12,26,4,5,1,0,3,1
123,2,90.0,12,9,4,2,1,0,0,1
82,1,96.3,6,26,4,0,1,0,0,1
47,0,60.0,11,11,3,3,0,0,3,1
153,3,151.2,10,17,4,5,2,0,3,1
25,0,139.0,9,16,4,1,0,3,0,0
54,1,96.0,11,11,4,2,1,0,0,1
18,1,73.92,9,15,4,3,0,3,0,1
195,0,75.0,4,10,3,1,2,0,3,1
66,1,231.0,11,17,4,3,0,1,5,0
15,1,160.0,3,20,4,2,2,0,0,1
31,2,135.9,9,8,4,2,0,0,0,1
322,0,80.0,5,19,3,3,1,0,0,0
189,0,109.8,10,28,4,2,1,0,3,0
20,2,80.85,9,2,4,4,0,0,0,1
83,0,82.45,3,12,4,4,2,0,3,1
247,1,0.0,6,6,4,0,0,1,0,1
22,0,132.0,12,29,4,4,0,0,3,1
159,1,70.0,4,9,3,1,1,0,0,1
41,1,160.0,10,21,4,2,0,0,0,0
13,0,131.6,4,14,3,1,0,1,0,1
82,0,80.75,10,16,3,4,2,0,0,1
43,0,87.97,2,14,4,1,2,0,3,1
154,1,120.7,7,7,4,3,1,0,3,0
126,0,195.75,8,16,4,4,0,1,3,0
38,1,88.0,11,3,4,2,0,3,0,0
17,0,83.2,11,27,4,3,2,0,0,0
22,0,90.0,10,28,3,2,0,0,0,1
53,0,126.9,5,18,4,2,0,0,0,0
6,0,120.5,8,28,3,0,2,0,3,1
32,2,149.4,9,10,4,2,2,0,3,1
19,2,81.0,2,23,4,2,0,3,0,1
3,0,100.0,8,22,2,1,1,0,0,1
139,1,77.03,7,25,4,2,1,0,0,1
386,0,90.0,10,23,4,0,2,1,0,0
7,0,95.0,10,30,3,1,0,0,0,1
42,2,88.0,11,2,4,2,0,3,0,1
212,0,84.31,5,30,4,3,1,0,0,0
245,0,110.0,7,6,4,4,2,0,0,0
156,0,121.5,7,25,4,2,1,0,0,0
188,0,130.0,6,15,3,2,0,0,0,0
44,0,75.0,2,17,3,3,0,0,0,1
140,0,70.0,12,29,3,5,0,0,0,1
14,1,109.0,6,12,4,0,2,3,0,1
88,0,88.7,3,23,4,4,0,0,0,1
198,0,90.0,9,9,3,2,1,0,0,0
61,0,124.8,4,15,4,2,1,0,3,0
118,1,118.8,8,2,4,3,0,0,3,1
128,0,140.7,7,11,4,2,1,0,0,0
97,2,141.3,7,21,4,3,2,0,3,1
20,1,90.65,11,13,4,2,2,0,0,1
18,1,67.22,2,9,4,2,0,0,0,1
1,1,211.0,4,29,4,2,1,0,5,1
22,0,71.0,11,17,2,1,0,0,0,1
8,0,56.0,3,2,3,2,0,0,0,1
95,0,109.65,5,21,4,2,2,3,0,0
46,1,71.1,3,12,4,1,1,3,0,1
37,1,88.39,12,14,4,5,2,0,0,1
190,0,70.0,4,9,3,1,1,0,0,0
132,1,96.9,7,12,3,6,2,0,0,1
117,1,116.05,7,8,4,3,2,0,0,1
65,2,125.1,9,8,4,1,0,3,0,1
59,0,99.85,4,27,4,4,0,3,0,0
65,0,105.3,7,24,4,2,2,0,0,0
71,1,63.49,2,15,4,4,1,0,3,1
44,1,85.5,9,17,4,2,0,0,0,1
27,1,139.0,8,22,4,2,1,3,0,0
196,0,116.1,9,11,4,0,2,3,0,0
180,0,120.0,10,10,3,2,1,0,0,0
23,1,118.0,9,6,4,2,0,0,0,1
6,0,100.63,11,14,2,3,1,0,3,1
275,0,62.8,6,4,3,1,1,0,0,0
119,0,137.7,7,26,4,3,0,0,3,1
53,1,94.5,10,26,4,2,1,0,0,1
220,0,85.5,8,29,4,1,1,3,0,0
19,0,85.5,10,7,2,1,0,0,0,1
39,0,101.5,8,14,3,2,0,1,0,1
87,1,183.6,9,6,4,5,2,1,3,1
89,2,104.0,12,10,4,1,1,0,0,1
1,1,119.0,10,28,3,1,0,0,4,1
0,0,0.0,8,11,1,1,0,0,0,1
118,1,109.65,5,11,4,4,0,0,0,1
8,3,140.0,9,3,4,3,0,0,0,1
35,1,120.0,12,28,4,2,0,3,0,1
40,1,113.4,10,27,3,3,0,1,1,1
47,0,163.95,8,23,4,5,1,0,3,1
13,2,89.0,6,13,4,0,1,3,0,1
40,1,125.0,7,26,3,1,0,1,0,1
308,2,78.3,11,23,4,3,0,3,0,0
377,1,115.0,10,14,3,2,0,1,0,0
88,0,116.1,6,17,4,2,0,3,0,0
9,1,90.0,8,19,4,4,0,0,0,1
157,0,127.0,5,5,4,3,0,0,3,0
263,0,110.0,10,21,3,2,0,0,0,0
43,1,126.9,7,1,4,2,1,0,0,1
39,1,65.0,12,27,3,1,0,0,0,1
305,0,89.0,11,4,3,2,1,0,0,0
102,0,82.45,8,13,3,3,2,0,3,1
49,0,60.0,11,9,3,2,1,0,3,1
142,0,114.3,5,22,4,1,2,0,3,1
151,0,71.0,1,19,3,3,0,0,0,1
125,2,132.3,10,17,4,0,1,0,3,1
78,1,80.75,4,10,4,2,2,3,0,1
220,0,172.0,9,17,3,1,2,1,0,0
0,0,101.0,3,21,4,0,1,0,0,0
21,1,58.0,12,25,3,3,2,0,0,1
245,0,110.0,7,6,3,4,2,0,0,0
180,0,85.0,11,27,4,2,2,0,0,0
24,0,134.33,3,29,4,3,0,0,0,0
81,0,85.5,4,10,4,0,2,3,0,0
9,1,160.29,7,14,4,5,2,0,3,1
45,0,151.2,9,30,4,1,0,0,3,1
119,0,264.1,7,11,4,0,1,1,5,0
16,1,160.0,7,14,4,2,0,0,0,1
56,0,97.2,11,11,4,2,0,0,0,1
93,0,159.3,6,8,4,3,0,0,0,0
206,0,132.77,9,23,4,3,2,1,0,0
11,1,138.5,8,2,4,1,0,0,0,1
130,1,113.05,5,12,4,3,1,0,3,0
125,1,114.3,7,9,4,1,2,0,0,1
100,2,92.65,4,25,4,4,1,0,0,1
14,1,149.33,6,3,4,2,1,0,3,1
17,0,95.0,10,30,3,1,0,0,0,1
1,2,65.0,7,31,2,1,2,0,0,1
2,1,110.5,12,24,4,2,2,0,4,1
104,1,114.0,10,6,3,2,0,1,0,0
36,1,137.4,3,25,4,2,1,0,3,0
0,0,73.07,6,8,4,1,0,0,0,1
184,1,65.29,10,17,4,6,2,0,1,1
1,0,67.0,4,6,2,1,0,0,0,1
1,1,114.0,10,14,4,1,0,3,0,1
62,2,132.3,10,13,4,3,0,0,3,1
70,1,126.0,11,1,4,4,0,0,3,0
301,1,115.0,7,30,3,1,1,1,0,0
14,0,64.0,12,5,3,1,2,0,0,1
35,1,79.0,12,14,2,1,0,0,0,1
23,3,119.0,10,17,4,2,1,3,0,1
57,1,90.67,6,10,3,2,1,0,0,1
59,0,80.75,10,9,3,1,2,0,0,1
193,1,76.85,7,9,4,1,2,0,1,1
7,1,86.78,12,9,4,2,2,3,0,1
247,1,90.95,10,25,4,4,0,0,0,0
45,0,99.18,9,5,4,3,1,0,3,1
19,2,82.8,2,7,4,1,2,0,3,1
109,0,152.1,8,24,4,4,0,0,3,0
208,2,80.24,6,11,3,2,2,0,0,1
42,0,72.76,4,26,3,3,0,0,0,1
117,0,76.0,2,29,3,1,1,0,0,1
29,2,122.0,8,30,4,1,0,0,0,1
102,0,101.5,10,16,4,2,0,1,0,0
56,0,82.0,9,17,3,2,0,1,0,1
0,0,143.0,9,4,4,1,0,0,0,1
229,0,128.7,10,28,4,2,1,0,3,0
2,0,86.0,2,7,4,0,1,0,0,1
11,1,152.67,6,2,4,3,0,0,3,1
0,2,152.0,9,22,4,1,0,3,0,1
278,0,84.15,12,27,3,5,0,0,0,1
35,1,127.44,9,5,4,3,1,0,0,1
17,1,125.8,12,29,4,3,1,0,3,1
93,0,115.0,10,15,3,1,2,0,0,0
87,1,80.75,10,23,3,1,2,0,0,1
6,0,67.0,12,8,2,1,0,0,0,1
5,0,65.0,11,18,2,2,0,0,0,1
21,0,139.0,5,31,4,3,0,0,0,0
57,0,105.25,4,22,4,5,2,0,4,1
47,1,105.5,11,5,4,2,0,0,1,1
29,0,89.93,3,4,4,2,1,0,0,1
283,1,69.38,7,9,4,3,2,0,0,1
285,0,100.0,10,3,3,3,1,0,0,0
65,0,75.0,11,18,3,2,0,0,0,1
38,0,52.39,3,5,4,3,2,3,0,1
57,1,108.0,3,21,4,2,1,0,0,0
136,0,90.9,8,26,4,2,0,0,0,1
39,2,130.9,12,8,4,8,2,0,3,1
1,2,139.0,8,3,4,3,0,3,0,1
9,2,0.0,9,11,1,0,1,0,6,1
111,0,72.25,7,13,3,3,0,0,0,0
75,0,105.0,10,30,3,0,2,1,0,0
44,0,95.0,4,23,3,1,2,0,1,1
85,0,90.0,9,9,2,2,0,0,0,1
39,0,117.9,7,3,4,1,2,0,0,0
0,1,0.0,1,7,1,1,0,0,0,1
27,0,120.0,6,9,3,1,0,0,0,1
58,1,90.95,9,8,3,3,1,0,3,1
309,0,101.0,5,13,3,2,1,1,0,0
54,0,94.5,6,2,3,2,0,0,0,1
214,0,105.4,10,25,3,2,0,0,0,0
2,2,89.0,8,10,4,1,1,3,0,1
14,1,168.25,10,22,4,1,1,0,5,1
110,2,130.0,10,9,3,2,2,0,0,0
97,2,104.96,7,23,4,1,2,0,3,1
54,0,112.2,4,10,4,3,2,0,3,0
47,0,71.1,3,17,4,1,0,3,0,0
53,2,103.7,11,29,4,4,0,0,0,1
112,2,92.65,8,24,3,4,0,0,4,1
161,0,59.5,10,31,3,3,1,3,0,1
0,1,113.0,6,22,4,2,0,3,0,1
291,0,115.0,8,19,3,2,0,1,0,0
77,0,159.3,5,17,4,3,0,0,0,0
64,1,93.6,11,22,4,3,0,0,0,0
46,1,124.1,3,21,4,3,1,0,3,0
0,0,75.0,10,3,2,0,1,0,0,1
192,0,95.0,6,24,3,2,0,0,0,1
25,1,68.0,11,10,3,5,2,0,0,1
161,2,95.69,6,17,4,5,2,3,0,0
55,2,86.4,12,8,4,3,0,0,0,1
111,0,59.5,11,8,4,2,0,0,0,0
42,2,147.9,8,27,4,4,2,0,3,1
88,1,126.9,4,30,4,1,0,0,0,1
1,0,110.0,9,2,0,5,2,0,0,1
152,0,71.0,1,20,3,1,0,0,0,1
32,1,109.58,10,14,4,4,0,0,0,1
3,1,102.0,1,19,4,4,0,0,3,1
40,2,130.9,12,4,4,2,2,0,3,1
2,0,81.75,5,15,3,2,2,0,0,1
156,0,170.28,8,17,4,4,2,0,5,0
105,1,118.8,7,15,4,2,1,0,3,1
0,0,95.5,8,31,2,2,1,0,0,1
5,0,174.0,11,28,4,0,1,0,5,1
105,0,65.0,9,28,2,1,0,0,0,1
40,0,102.6,6,27,4,3,1,3,0,0
200,3,82.92,10,31,4,2,1,0,1,1
320,1,115.0,8,18,3,2,0,1,0,0
104,2,135.9,9,18,4,1,2,0,0,0
13,3,51.05,12,13,4,4,0,0,0,1
97,1,117.9,8,8,4,4,1,0,0,1
213,1,102.85,10,5,4,5,2,0,0,0
10,1,77.6,1,16,3,1,0,0,0,1
74,2,109.0,9,18,3,2,0,1,0,1
3,0,0.0,9,17,1,1,0,0,0,1
59,0,85.0,10,29,3,2,0,0,0,1
3,1,67.22,2,11,4,1,0,0,0,1
12,1,99.0,10,30,4,3,2,3,0,0
103,0,94.5,7,18,3,1,2,1,0,0
26,0,226.5,9,27,4,4,0,0,5,0
55,0,109.35,5,30,4,2,1,0,0,0
20,1,85.0,8,29,3,0,1,0,0,1
17,0,65.0,4,21,2,2,0,0,0,1
110,1,85.87,11,2,4,3,0,3,0,1
38,0,90.95,8,21,4,0,2,0,0,1
38,0,109.8,9,2,4,1,0,0,0,1
149,0,106.25,6,28,4,5,2,0,0,0
14,0,77.88,1,28,4,4,2,0,1,1
335,0,90.0,10,13,3,3,0,0,0,1
43,2,64.0,12,26,3,2,2,0,0,1
3,1,174.0,8,3,4,1,0,3,0,1
159,0,144.0,9,19,4,2,1,0,0,0
99,0,65.0,10,30,4,2,2,0,0,0
4,1,176.0,5,27,4,1,0,0,3,1
69,0,69.99,10,25,4,3,0,0,0,0
92,1,187.85,6,1,4,4,0,0,5,1
63,2,137.7,7,18,4,1,1,0,3,1
20,0,85.0,10,27,3,1,0,3,0,1
75,2,115.85,5,22,4,2,2,0,0,1
2,1,75.0,2,8,4,1,1,3,0,1
140,1,103.5,8,12,4,2,0,3,0,1
49,1,168.3,8,20,4,3,2,0,3,0
24,0,89.0,1,6,4,2,0,0,0,1
10,0,129.0,5,15,2,9,4,0,0,1
130,1,76.5,8,1,4,1,2,0,0,0
0,0,95.0,10,17,2,0,1,0,0,1
45,1,60.98,12,4,4,1,2,3,0,1
173,2,168.3,7,8,4,1,0,0,5,0
0,2,150.0,10,20,4,1,0,3,0,1
38,1,104.64,9,25,4,0,2,0,0,0
59,0,168.3,9,24,4,1,1,0,3,0
94,0,138.25,7,13,4,3,0,0,4,1
119,0,0.0,6,7,4,0,0,0,0,1
8,0,146.0,4,21,4,3,0,0,3,1
69,2,93.6,12,24,4,1,2,0,0,1
56,0,120.0,6,8,3,1,0,0,0,1
47,0,168.3,7,24,4,1,2,0,3,1
4,1,87.0,11,27,4,2,1,0,0,1
63,1,109.0,6,9,4,1,0,3,0,1
146,1,94.5,7,27,4,3,0,3,0,1
256,1,112.0,6,15,4,2,0,1,0,0
21,2,124.25,8,29,4,3,1,0,0,1
50,0,82.45,3,11,4,2,2,0,3,0
68,0,65.0,9,29,3,2,0,0,0,1
228,0,0.0,6,4,4,0,0,0,0,0
0,0,188.0,8,8,2,0,1,0,4,1
11,0,143.2,10,7,3,1,0,0,0,1
56,0,185.0,9,25,3,2,2,0,0,1
29,1,86.0,3,5,3,1,2,0,0,1
280,0,110.0,9,19,3,2,1,0,0,0
128,1,43.43,2,5,3,5,2,0,0,1
21,0,161.33,9,16,4,3,0,0,5,1
304,0,89.0,11,3,4,3,0,0,0,0
9,1,93.0,2,21,4,1,2,0,0,1
39,2,177.0,4,29,4,2,0,0,3,1
77,1,107.1,7,5,4,2,0,3,0,1
0,0,66.13,9,4,3,2,1,0,0,1
58,0,116.1,6,18,4,1,1,3,0,0
191,0,101.75,7,25,4,4,1,0,0,0
110,0,94.5,7,25,4,1,2,1,0,0
30,1,140.6,3,6,4,1,2,1,3,1
46,1,77.35,3,11,4,4,2,0,0,1
2,1,164.0,8,24,4,2,0,0,3,1
93,0,103.5,6,28,4,2,0,3,0,0
1,0,84.0,7,26,2,1,0,0,0,1
90,1,79.8,3,25,4,2,2,0,1,1
15,0,90.95,11,10,4,4,0,0,0,1
95,1,121.5,5,21,4,1,1,0,0,0
17,0,82.08,10,20,4,3,0,0,0,1
74,1,99.45,3,21,4,3,1,0,3,1
320,1,115.0,8,18,4,2,0,1,0,0
107,0,107.1,8,2,4,5,0,0,0,0
195,0,174.3,8,26,4,2,1,0,5,0
33,0,143.1,5,9,4,3,1,0,0,0
1,0,106.4,7,6,3,1,0,3,0,1
136,1,105.6,5,30,4,2,1,0,0,0
31,0,132.6,6,16,4,1,0,0,3,0
29,0,63.0,11,6,3,2,1,0,0,1
1,0,91.2,9,29,4,2,0,3,0,1
59,0,75.0,11,11,3,2,0,0,0,1
102,1,119.0,12,2,4,2,2,0,3,0
19,1,65.1,9,11,4,0,2,3,0,0
64,1,80.1,3,31,4,3,0,3,0,1
137,0,135.9,9,30,4,2,1,0,3,0
166,0,137.7,8,4,4,3,0,0,3,0
3,0,94.0,1,3,3,0,1,0,0,1
0,0,109.0,8,14,3,2,0,1,0,1
116,1,88.4,12,23,4,4,2,0,0,1
131,0,94.5,8,15,3,1,2,1,0,0
116,0,57.0,3,5,3,5,2,0,0,1
119,1,177.3,7,14,4,2,0,0,5,1
74,0,92.65,12,27,3,3,0,0,0,1
1,0,65.0,4,1,2,1,0,0,0,1
13,0,96.0,12,5,4,0,1,0,0,1
207,2,108.9,10,4,4,1,0,0,0,0
31,3,112.14,6,26,4,4,2,0,3,1
102,0,109.0,10,16,3,2,0,1,0,1
41,0,65.0,12,27,3,1,0,0,0,1
7,1,108.33,6,13,4,2,1,0,0,1
0,0,79.0,7,20,2,1,0,0,0,1
10,0,82.95,11,2,4,4,1,0,0,1
28,1,86.1,1,25,4,2,1,0,0,1
292,0,115.0,7,21,4,2,0,1,0,0
183,2,80.1,10,29,4,1,2,3,0,0
37,0,96.3,4,30,3,3,2,0,3,1
51,0,95.04,10,6,4,1,0,0,0,0
205,0,90.0,5,29,3,1,2,0,0,0
61,0,102.0,3,21,4,3,1,0,3,1
89,0,119.85,5,11,4,4,0,0,0,1
248,0,72.25,8,2,3,6,2,0,0,1
346,1,115.0,9,13,3,2,0,1,0,0
144,1,114.3,5,6,4,2,0,0,3,0
26,0,101.0,6,23,4,1,0,0,0,0
24,1,46.67,2,11,3,3,0,0,3,1
181,0,250.0,10,11,3,1,0,0,4,0
75,0,74.68,3,19,4,5,2,0,0,1
4,0,75.51,11,26,4,2,2,0,3,1
23,3,129.0,9,28,4,2,0,3,0,1
91,2,121.5,10,7,4,1,0,0,0,0
92,2,112.5,8,22,4,0,1,0,0,1
60,1,106.2,4,1,4,2,1,0,3,1
124,1,143.1,5,31,4,3,0,0,0,0
182,0,98.1,10,12,4,1,0,3,0,0
82,0,99.45,4,6,4,4,1,0,3,0
101,1,80.75,5,12,3,3,0,0,0,0
56,2,105.75,12,30,4,4,1,3,3,1
122,0,85.0,4,15,4,2,0,0,0,0
190,0,96.3,10,26,4,4,0,0,0,0
42,0,75.0,11,7,3,3,1,0,0,1
12,0,118.67,12,30,4,4,2,0,3,1
1,2,119.0,8,24,4,1,0,3,0,1
177,1,74.5,8,5,3,2,2,0,0,1
317,1,106.2,9,1,4,3,0,0,0,0
72,0,78.15,3,19,4,1,0,0,1,0
29,2,163.46,4,18,4,3,1,1,0,1
21,0,76.0,11,5,4,2,0,0,0,1
30,0,121.0,9,30,3,2,0,1,0,1
28,0,130.33,12,31,4,3,0,0,3,0
99,0,121.5,7,16,4,1,0,0,0,0
98,0,65.0,9,21,2,1,0,0,0,1
188,1,134.4,9,28,4,4,2,0,3,0
155,0,95.2,8,21,4,5,3,0,0,0
0,0,156.0,10,3,4,0,1,0,4,1
36,0,67.5,2,13,4,1,0,3,0,0
6,0,66.3,12,15,4,3,1,3,0,1
3,0,79.0,3,14,2,1,1,0,0,1
47,0,106.2,4,1,4,2,1,0,3,1
64,2,149.0,11,17,4,3,0,0,3,1
32,0,85.0,11,20,3,2,0,0,0,1
1,0,85.0,1,23,4,1,0,0,0,1
38,1,136.8,9,7,4,3,0,0,3,1
1,1,90.0,10,7,2,2,0,0,0,1
46,0,124.46,8,28,4,5,2,0,3,1
71,0,152.1,8,19,4,1,0,0,3,0
326,2,67.5,11,24,4,3,0,3,0,0
1,0,98.1,9,30,3,2,0,0,0,1
75,0,80.75,6,8,3,4,2,0,0,1
33,1,154.8,3,25,4,2,2,0,3,1
3,1,87.0,11,27,4,1,0,0,0,0
14,2,104.0,12,18,4,0,1,0,0,1
48,1,79.2,11,6,4,0,1,3,0,1
